title,keyword,abstract,link
[COVID-19 and the Nervous System - PubMed],                  Keywords:                        COVID-19; Coronavirus; Encephalitis; Meningitis; Myositis; Neurological complications; SARS-CoV-2; Stroke.      ,"[                                          A pandemic due to novel coronavirus arose in mid-December 2019 in Wuhan, China, and in 3 months' time swept the world. The disease has been referred to as COVID-19, and the causative agent has been labelled SARS-CoV-2 due to its genetic similarities to the virus (SARS-CoV-1) responsible for the severe acute respiratory syndrome (SARS) epidemic nearly 20 years earlier. The spike proteins of both viruses dictate tissue tropism using the angiotensin-converting enzyme type 2 (ACE-2) receptor to bind to cells. The ACE-2 receptor can be found in nervous system tissue and endothelial cells among the tissues of many other organs.Neurological complications have been observed with COVID-19. Myalgia and headache are relatively common, but serious neurological disease appears to be rare. No part of the neuraxis is spared. The neurological disorders occurring with COVID-19 may have many pathophysiological underpinnings. Some appear to be the consequence of direct viral invasion of the nervous system tissue, others arise as a postviral autoimmune process, and still others are the result of metabolic and systemic complications due to the associated critical illness. This review addresses the preliminary observations regarding the neurological disorders reported with COVID-19 to date and describes some of the disorders that are anticipated from prior experience with similar coronaviruses.                                ]",https://pubmed.ncbi.nlm.nih.gov//32447630/
[COVID-19: ICU Delirium Management During SARS-CoV-2 Pandemic - PubMed],                  Keywords:                        COVID-19; Delirium; PICS; PTSD; Pain; Pandemic; SARS-CoV-2; Sedation.      ,"[                                          The novel coronavirus, SARS-CoV-2-causing Coronavirus Disease 19 (COVID-19), emerged as a public health threat in December 2019 and was declared a pandemic by the World Health Organization in March 2020. Delirium, a dangerous untoward prognostic development, serves as a barometer of systemic injury in critical illness. The early reports of 25% encephalopathy from China are likely a gross underestimation, which we know occurs whenever delirium is not monitored with a valid tool. Indeed, patients with COVID-19 are at accelerated risk for delirium due to at least seven factors including (1) direct central nervous system (CNS) invasion, (2) induction of CNS inflammatory mediators, (3) secondary effect of other organ system failure, (4) effect of sedative strategies, (5) prolonged mechanical ventilation time, (6) immobilization, and (7) other needed but unfortunate environmental factors including social isolation and quarantine without family. Given early insights into the pathobiology of the virus, as well as the emerging interventions utilized to treat the critically ill patients, delirium prevention and management will prove exceedingly challenging, especially in the intensive care unit (ICU). The main focus during the COVID-19 pandemic lies within organizational issues, i.e., lack of ventilators, shortage of personal protection equipment, resource allocation, prioritization of limited mechanical ventilation options, and end-of-life care. However, the standard of care for ICU patients, including delirium management, must remain the highest quality possible with an eye towards long-term survival and minimization of issues related to post-intensive care syndrome (PICS). This article discusses how ICU professionals (e.g., physicians, nurses, physiotherapists, pharmacologists) can use our knowledge and resources to limit the burden of delirium on patients by reducing modifiable risk factors despite the imposed heavy workload and difficult clinical challenges posed by the pandemic.                                ]",https://pubmed.ncbi.nlm.nih.gov//32345343/
[COVID-19: Don't Forget Deaf People - PubMed],                  Keywords:                        Society; Virology.      ,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32184486/
[Neurological Manifestations of COVID-19 - PubMed],No Keywords,"[                                          The COVID-19 pandemic, which started in China, has spread rapidly to affect the entire world in a matter of months. Main manifestations of the disease include a febrile syndrome accompanied by respiratory symptoms; however, cases of systemic involvement are increasingly being reported, including cardiac and central nervous system compromise. In the series by Ling M. et al., 214 patients with COVID-19 were studied; 78 (36.4 %) had neurologic manifestations, which were classified into four main groups: acute cerebrovascular disease, impaired consciousness, peripheral nervous system involvement and muscular manifestations. Another report published by Li et al. describes that, out of 221 patients with COVID-19, 13 developed acute cerebrovascular disease with cerebral infarction, venous thrombosis and intracerebral hemorrhage.                                ]",https://pubmed.ncbi.nlm.nih.gov//32412510/
[Cerebrovascular Disease in COVID-19 - PubMed],No Keywords,"[                                          Coronavirus disease 19 (COVID-19) is a pandemic originating in Wuhan, China, in December 2019. Early reports suggest that there are neurologic manifestations of COVID-19, including acute cerebrovascular disease. We report a case of COVID-19 with acute ischemic stroke. To our knowledge, this is the first reported case of COVID-19-related cerebral infarcts that includes brain imaging at multiple time points and CT angiography. There is a growing body of published evidence that complications of COVID-19 are not limited to the pulmonary system. Neuroradiologists should be aware of a wide range of neurologic manifestations, including cerebrovascular disease.                                ]",https://pubmed.ncbi.nlm.nih.gov//32409316/
"[COVID-19, Anxiety, Sleep Disturbances and Suicide - PubMed]",No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32408252/
[Emergency Surgery During the COVID-19 Pandemic: What You Need to Know for Practice - PubMed],                  Keywords:                        2019-nCoV; Acute abdomen; COVID-19; Coronavirus; Emergency surgery; Laparoscopy; Non-operative management; Open surgery; SARS-CoV-2.      ,"[                                              Introduction:                    Several articles have been published about the reorganisation of surgical activity during the COVID-19 pandemic but few, if any, have focused on the impact that this has had on emergency and trauma surgery. Our aim was to review the most current data on COVID-19 to provide essential suggestions on how to manage the acute abdomen during the pandemic.                                                        Methods:                    A systematic review was conducted of the most relevant English language articles on COVID-19 and surgery published between 15 December 2019 and 30 March 2020.                                                        Findings:                    Access to the operating theatre is almost exclusively restricted to emergencies and oncological procedures. The use of laparoscopy in COVID-19 positive patients should be cautiously considered. The main risk lies in the presence of the virus in the pneumoperitoneum: the aerosol released in the operating theatre could contaminate both staff and the environment.                                                        Conclusions:                    During the COVID-19 pandemic, all efforts should be deployed in order to evaluate the feasibility of postponing surgery until the patient is no longer considered potentially infectious or at risk of perioperative complications. If surgery is deemed necessary, the emergency surgeon must minimise the risk of exposure to the virus by involving a minimal number of healthcare staff and shortening the occupation of the operating theatre. In case of a lack of security measures to enable safe laparoscopy, open surgery should be considered.                                ]",https://pubmed.ncbi.nlm.nih.gov//32352836/
[Presentation of New Onset Anosmia During the COVID-19 Pandemic - PubMed],No Keywords,"[                                              Introduction:                    Anosmia has not been formally recognised as a symptom of COVID-19 infection. Growing anecdotal evidence suggests increasing incidence of cases of anosmia during the current pandemic, suggesting that COVID-19 may cause olfactory dysfunction. The objective was to characterise patients reporting new onset anosmia during the COVID-19 pandemic METHODOLOGY: Design: Survey of 2428 patients reporting new onset anosmia during the COVID-19 pandemic.                                                        Setting:                    Volunteer sample of patients seeking medical advice of recent onset self-diagnosed loss of sense of smell RESULTS: 2428 surveys were completed within 7 days; 64% respondents were under 40. The majority of respondents reported onset of their anosmia in the last week. Of the cohort, 17% did not report any other symptom thought to be associated with COVID-19. In patients who reported other symptoms, 51% reported either cough or fever and therefore met current guidelines for self-isolation.                                                        Conclusions:                    Anosmia is reported in conjunction with well-reported symptoms of coronas virus, but 1 in 6 patients with recent onset anosmia report this as an isolated symptom. This might help identify otherwise asymptomatic carriers of disease and trigger targeted testing. Further study with COVID-19 testing is required to identify the proportion of patients in whom new onset anosmia can be attributed to COVID-19.                                ]",https://pubmed.ncbi.nlm.nih.gov//32277751/
[A New Symptom of COVID-19: Loss of Taste and Smell - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32237199/
"[Clinical Features of Patients Infected With 2019 Novel Coronavirus in Wuhan, China - PubMed]",No Keywords,"[                                              Background:                    A recent cluster of pneumonia cases in Wuhan, China, was caused by a novel betacoronavirus, the 2019 novel coronavirus (2019-nCoV). We report the epidemiological, clinical, laboratory, and radiological characteristics and treatment and clinical outcomes of these patients.                                                        Methods:                    All patients with suspected 2019-nCoV were admitted to a designated hospital in Wuhan. We prospectively collected and analysed data on patients with laboratory-confirmed 2019-nCoV infection by real-time RT-PCR and next-generation sequencing. Data were obtained with standardised data collection forms shared by WHO and the International Severe Acute Respiratory and Emerging Infection Consortium from electronic medical records. Researchers also directly communicated with patients or their families to ascertain epidemiological and symptom data. Outcomes were also compared between patients who had been admitted to the intensive care unit (ICU) and those who had not.                                                        Findings:                    By Jan 2, 2020, 41 admitted hospital patients had been identified as having laboratory-confirmed 2019-nCoV infection. Most of the infected patients were men (30 [73%] of 41); less than half had underlying diseases (13 [32%]), including diabetes (eight [20%]), hypertension (six [15%]), and cardiovascular disease (six [15%]). Median age was 49·0 years (IQR 41·0-58·0). 27 (66%) of 41 patients had been exposed to Huanan seafood market. One family cluster was found. Common symptoms at onset of illness were fever (40 [98%] of 41 patients), cough (31 [76%]), and myalgia or fatigue (18 [44%]); less common symptoms were sputum production (11 [28%] of 39), headache (three [8%] of 38), haemoptysis (two [5%] of 39), and diarrhoea (one [3%] of 38). Dyspnoea developed in 22 (55%) of 40 patients (median time from illness onset to dyspnoea 8·0 days [IQR 5·0-13·0]). 26 (63%) of 41 patients had lymphopenia. All 41 patients had pneumonia with abnormal findings on chest CT. Complications included acute respiratory distress syndrome (12 [29%]), RNAaemia (six [15%]), acute cardiac injury (five [12%]) and secondary infection (four [10%]). 13 (32%) patients were admitted to an ICU and six (15%) died. Compared with non-ICU patients, ICU patients had higher plasma levels of IL2, IL7, IL10, GSCF, IP10, MCP1, MIP1A, and TNFα.                                                        Interpretation:                    The 2019-nCoV infection caused clusters of severe respiratory illness similar to severe acute respiratory syndrome coronavirus and was associated with ICU admission and high mortality. Major gaps in our knowledge of the origin, epidemiology, duration of human transmission, and clinical spectrum of disease need fulfilment by future studies.                                                        Funding:                    Ministry of Science and Technology, Chinese Academy of Medical Sciences, National Natural Science Foundation of China, and Beijing Municipal Science and Technology Commission.                                ]",https://pubmed.ncbi.nlm.nih.gov//31986264/
[Clinical Characteristics of 113 Deceased Patients With Coronavirus Disease 2019: Retrospective Study - PubMed],No Keywords,"[                                              Objective:                    To delineate the clinical characteristics of patients with coronavirus disease 2019 (covid-19) who died.                                                        Design:                    Retrospective case series.                                                        Setting:                    Tongji Hospital in Wuhan, China.                                                        Participants:                    Among a cohort of 799 patients, 113 who died and 161 who recovered with a diagnosis of covid-19 were analysed. Data were collected until 28 February 2020.                                                        Main outcome measures:                    Clinical characteristics and laboratory findings were obtained from electronic medical records with data collection forms.                                                        Results:                    The median age of deceased patients (68 years) was significantly older than recovered patients (51 years). Male sex was more predominant in deceased patients (83; 73%) than in recovered patients (88; 55%). Chronic hypertension and other cardiovascular comorbidities were more frequent among deceased patients (54 (48%) and 16 (14%)) than recovered patients (39 (24%) and 7 (4%)). Dyspnoea, chest tightness, and disorder of consciousness were more common in deceased patients (70 (62%), 55 (49%), and 25 (22%)) than in recovered patients (50 (31%), 48 (30%), and 1 (1%)). The median time from disease onset to death in deceased patients was 16 (interquartile range 12.0-20.0) days. Leukocytosis was present in 56 (50%) patients who died and 6 (4%) who recovered, and lymphopenia was present in 103 (91%) and 76 (47%) respectively. Concentrations of alanine aminotransferase, aspartate aminotransferase, creatinine, creatine kinase, lactate dehydrogenase, cardiac troponin I, N-terminal pro-brain natriuretic peptide, and D-dimer were markedly higher in deceased patients than in recovered patients. Common complications observed more frequently in deceased patients included acute respiratory distress syndrome (113; 100%), type I respiratory failure (18/35; 51%), sepsis (113; 100%), acute cardiac injury (72/94; 77%), heart failure (41/83; 49%), alkalosis (14/35; 40%), hyperkalaemia (42; 37%), acute kidney injury (28; 25%), and hypoxic encephalopathy (23; 20%). Patients with cardiovascular comorbidity were more likely to develop cardiac complications. Regardless of history of cardiovascular disease, acute cardiac injury and heart failure were more common in deceased patients.                                                        Conclusion:                    Severe acute respiratory syndrome coronavirus 2 infection can cause both pulmonary and systemic inflammation, leading to multi-organ dysfunction in patients at high risk. Acute respiratory distress syndrome and respiratory failure, sepsis, acute cardiac injury, and heart failure were the most common critical complications during exacerbation of covid-19.                                ]",https://pubmed.ncbi.nlm.nih.gov//32217556/
[Neurological Insights of COVID-19 Pandemic - PubMed],                  Keywords:                        COVID-19; SARS-CoV-2; encephalopathy; hACE2; neuroinvasive property; therapeutic intervention.      ,"[                                          The novel coronavirus SARS-CoV-2, which was identified after a recent outbreak in Wuhan, China, in December 2019, has kept the whole world in tenterhooks due to its severe life-threatening nature of the infection. The virus is unlike its previous counterparts, SARS-CoV and MERS-CoV, or anything the world has encountered before both in terms of virulence and severity of the infection. If scientific reports relevant to the SARS-CoV-2 virus are noted, it can be seen that the virus owes much of its killer properties to its unique structure that has a stronger binding affinity with the human angiotensin-converting enzyme 2 (hACE2) protein, which the viruses utilize as an entry point to gain accesses to its hosts. Recent reports suggest that it is not just the lung that the virus may be targeting; the human brain may soon emerge as the new abode of the virus. Already instances of patients with COVID-19 have been reported with mild (anosmia and ageusia) to severe (encephalopathy) neurological manifestations, and if that is so, then it gives us more reasons to be frightened of this killer virus. Keeping in mind that the situation does not worsen from here, immediate awareness and more thorough research regarding the neuroinvasive nature of the virus is the immediate need of the hour. Scientists globally also need to up their game to design more specific therapeutic strategies with the available information to counteract the pandemic. In this Viewpoint, we provide a brief outline of the currently known neurological manifestations of COVID-19 and discuss some probable ways to design therapeutic strategies to overcome the present global crisis.                                ]",https://pubmed.ncbi.nlm.nih.gov//32320211/
[Clinical Features of covid-19 - PubMed],No Keywords,No Abstract,https://pubmed.ncbi.nlm.nih.gov//32303495/
[Anosmia as a Prominent Symptom of COVID-19 Infection - PubMed],No Keywords,"[                                          According to WHO recommendations, everyone must protect themselves against Coronavirus disease 2019 (COVID-19), which will also protect others. Due to the lack of current effective treatment and vaccine for COVID-19, screening, rapid diagnosis and isolation of the patients are essential (1, 2). Therefore, identifying the early symptoms of COVID-19 is of particular importance and is a health system priority. Early studies from COVID-19 outbreak in China have illustrated several non-specific signs and symptoms in infected patients, including fever, dry cough, dyspnea, myalgia, fatigue, lymphopenia, and radiographic evidence of pneumonia (3, 4). Recently, a probability of association between COVID-19 and altered olfactory function has been reported in South Korea, Iran, Italy, France, UK and the United States (5-8). However, to our knowledge, the definite association between COVID-19 and anosmia has not been published.                                ]",https://pubmed.ncbi.nlm.nih.gov//32319971/
[Isolated Sudden Onset Anosmia in COVID-19 Infection. A Novel Syndrome? - PubMed],No Keywords,"[                                              Background:                    The amelioration of the current COVID pandemic relies on swift and efficient case finding as well as stringent social distancing measures. Current advice suggests that fever or new onset dry cough are the commonest presenting complaints.                                                        Methodology:                    We present a case report and case series as well as other evidence that there is an important fourth presenting syndrome, namely isolated sudden onset anosmia (ISOA), which should be considered highly suspicious for SARS-CoV-2.                                                        Results:                    A patient presenting with ISOA who went on to test positive for infection with COVID-19 and did not develop any further symptoms as well as a case series of similar patients although limited by the lack of reliable testing at the moment.                                                        Conclusions:                    We posit the existence of a fourth common syndrome of COVID-19 infection: isolated sudden onset anosmia (ISOA) and urge the international community to consider this presentation in current management advice.                                ]",https://pubmed.ncbi.nlm.nih.gov//32240279/
